model,target,horizon,mse,r2
lin,pm25,1,1.8374267786564502,0.8873652925586687
ridge,pm25,1,1.838115998917594,0.8873230431893995
knn,pm25,1,14.525050683722739,0.10961086812509513
tree,pm25,1,5.353855725871647,0.671807344721735
rf,pm25,1,3.535145451077927,0.7832947259341296
lin,pm25,3,5.240238195143227,0.6789373934225718
ridge,pm25,3,5.241887825411631,0.6788363227127796
knn,pm25,3,14.791042909505064,0.09377195965526364
tree,pm25,3,8.913486795163946,0.45388220962909775
rf,pm25,3,6.66068600238139,0.5919083961678748
lin,no2,1,0.014030607624741,0.8823474566594525
ridge,no2,1,0.01443461520951087,0.8789596832181064
knn,no2,1,0.09361669596665159,0.21498464826332475
tree,no2,1,0.037904488555502165,0.6821549285781678
rf,no2,1,0.017033209181911806,0.8571693803217961
lin,no2,3,0.05460570026734744,0.5418221117389226
ridge,no2,3,0.054967861408486286,0.5387833405841749
knn,no2,3,0.10974781491308963,0.07914335258117167
tree,no2,3,0.08792857471876177,0.2622211878026407
rf,no2,3,0.04302769045148456,0.6389692605114141
lin,randwick_wsp_1h_average_m_s,1,0.9385748225488045,0.6233326867457227
ridge,randwick_wsp_1h_average_m_s,1,0.9387771650977201,0.6232514829648136
knn,randwick_wsp_1h_average_m_s,1,1.2893374820376269,0.4825651897221067
tree,randwick_wsp_1h_average_m_s,1,1.1176289660669527,0.5514749706151372
rf,randwick_wsp_1h_average_m_s,1,0.6807072933116961,0.7268196619764159
lin,randwick_wsp_1h_average_m_s,3,1.1183453786312714,0.5512452579430973
ridge,randwick_wsp_1h_average_m_s,3,1.1189147106739943,0.5510168039620118
knn,randwick_wsp_1h_average_m_s,3,1.6716627231897452,0.32921744169115896
tree,randwick_wsp_1h_average_m_s,3,1.9601821755204183,0.21344419767998213
rf,randwick_wsp_1h_average_m_s,3,0.9994503437553435,0.5989538743750744
lin,earlwood_wsp_1h_average_m_s,1,0.13642762402720754,0.7169516314633169
ridge,earlwood_wsp_1h_average_m_s,1,0.1363716712309432,0.7170677175405363
knn,earlwood_wsp_1h_average_m_s,1,0.3118757279074153,0.3529469079313464
tree,earlwood_wsp_1h_average_m_s,1,0.2619548275738634,0.4565185232552069
rf,earlwood_wsp_1h_average_m_s,1,0.12095289212618897,0.7490572819821031
lin,earlwood_wsp_1h_average_m_s,3,0.2059867765013988,0.5728581411016277
ridge,earlwood_wsp_1h_average_m_s,3,0.20596608996775298,0.5729010374689855
knn,earlwood_wsp_1h_average_m_s,3,0.3968111471696644,0.1771576121902415
tree,earlwood_wsp_1h_average_m_s,3,0.3435239423598588,0.28765594661999594
rf,earlwood_wsp_1h_average_m_s,3,0.19675394987426506,0.5920036745935483
lin,macquarie_park_wsp_1h_average_m_s,1,0.17984408027304824,0.6704768109084619
ridge,macquarie_park_wsp_1h_average_m_s,1,0.1798925533240128,0.6703879951169464
knn,macquarie_park_wsp_1h_average_m_s,1,0.4261615825615429,0.219156262798484
tree,macquarie_park_wsp_1h_average_m_s,1,0.31930364990328963,0.4149490111381323
rf,macquarie_park_wsp_1h_average_m_s,1,0.15511145684421854,0.7157936928124665
lin,macquarie_park_wsp_1h_average_m_s,3,0.3045479396312186,0.4422459069968677
ridge,macquarie_park_wsp_1h_average_m_s,3,0.30464064454675066,0.44207612569366106
knn,macquarie_park_wsp_1h_average_m_s,3,0.559193659764774,-0.024116442530784266
tree,macquarie_park_wsp_1h_average_m_s,3,0.47126356570354244,0.13692017429935954
rf,macquarie_park_wsp_1h_average_m_s,3,0.2698715226152543,0.5057528660153977
lin,randwick_temp_1h_average_c,1,0.6933443155885051,0.9365625302330746
ridge,randwick_temp_1h_average_c,1,0.6937482556313497,0.936525571778697
knn,randwick_temp_1h_average_c,1,17.2343197014524,-0.5768523811815318
tree,randwick_temp_1h_average_c,1,1.8996911105517547,0.8261879492156294
rf,randwick_temp_1h_average_c,1,1.078274824421299,0.9013433512949435
lin,randwick_temp_1h_average_c,3,2.1449149393057327,0.8038726340461632
ridge,randwick_temp_1h_average_c,3,2.1459305978389955,0.8037797639611136
knn,randwick_temp_1h_average_c,3,19.094075018678634,-0.7459296730669145
tree,randwick_temp_1h_average_c,3,4.689830524657269,0.5711698908355529
rf,randwick_temp_1h_average_c,3,2.5255983752479545,0.7690635895542772
lin,earlwood_temp_1h_average_c,1,0.5526151858511081,0.9632167142504338
ridge,earlwood_temp_1h_average_c,1,0.5534667281022182,0.9631600337198359
knn,earlwood_temp_1h_average_c,1,17.088484048753973,-0.13744719270450823
tree,earlwood_temp_1h_average_c,1,1.499951527729315,0.900159917664964
rf,earlwood_temp_1h_average_c,1,0.7727449824139355,0.9485643894206452
lin,earlwood_temp_1h_average_c,3,2.622417673558843,0.825549142493263
ridge,earlwood_temp_1h_average_c,3,2.625454606932006,0.8253471168447628
knn,earlwood_temp_1h_average_c,3,20.552102100423443,-0.36718565891880983
tree,earlwood_temp_1h_average_c,3,4.5225688987372425,0.6991455516514586
rf,earlwood_temp_1h_average_c,3,2.21265223539805,0.8528079322674963
lin,macquarie_park_temp_1h_average_c,1,0.8800322534156222,0.9524872284001515
ridge,macquarie_park_temp_1h_average_c,1,0.8806557145945811,0.9524535678513679
knn,macquarie_park_temp_1h_average_c,1,19.111428608674753,-0.03182234390439409
tree,macquarie_park_temp_1h_average_c,1,1.9890563206731064,0.8926112329445008
rf,macquarie_park_temp_1h_average_c,1,0.9672346741612867,0.9477791865258205
lin,macquarie_park_temp_1h_average_c,3,3.6255998474792,0.8043617307265486
ridge,macquarie_park_temp_1h_average_c,3,3.627872307176731,0.8042391082362239
knn,macquarie_park_temp_1h_average_c,3,23.861905884356695,-0.2875943747700944
tree,macquarie_park_temp_1h_average_c,3,5.355070780556522,0.7110390491456686
rf,macquarie_park_temp_1h_average_c,3,2.781347178960967,0.8499178146427694
