suburb,pollutant,horizon,mse,r2
alexandria,pm25,1,3.8865278173111832,0.6986603175840133
alexandria,pm25,3,7.065882234064256,0.45215091503583993
alexandria,no2,1,0.07981186054845622,0.7855436709233065
alexandria,no2,3,0.22863308762059092,0.38565756593516276
bargo,pm25,1,285.85174335860376,0.5635122915098199
bargo,pm25,3,606.4529798986455,0.07396306773290984
bringelly,pm25,1,9.578378581288261,0.6692870485144315
bringelly,pm25,3,17.06269583604673,0.410875812398659
bringelly,no2,1,0.023354171606588616,0.7720184548044501
bringelly,no2,3,0.06252188692079952,0.38966636758273787
camden,pm25,1,9.184852388337852,0.5975327420971169
camden,pm25,3,16.05722175997496,0.29639522356601267
camden,no2,1,0.01808640597946923,0.8171160507411128
camden,no2,3,0.04722786432748243,0.5224469497656177
campbelltown_west,pm25,1,11.838475987769092,0.5541275342552692
campbelltown_west,pm25,3,18.472515556977132,0.30426973299547133
campbelltown_west,no2,1,0.09107337374751469,0.8043672795453534
campbelltown_west,no2,3,0.26457196215816775,0.43167875984786797
cook_and_phillip,pm25,1,4.5278803071882825,0.6687550711519079
cook_and_phillip,pm25,3,9.41810393358785,0.3110022889932551
cook_and_phillip,no2,1,0.08475498616546552,0.7720371117956233
cook_and_phillip,no2,3,0.2555651233934073,0.3126143217187197
earlwood,pm25,1,6.791802318328444,0.6807587085328943
earlwood,pm25,3,12.911692939936083,0.3930998966138384
lidcombe,pm25,1,14.396348141434036,0.6105458889769116
lidcombe,pm25,3,30.85562468781244,0.16528485107494484
lidcombe,no2,1,0.06929516442052971,0.8142250701882473
lidcombe,no2,3,0.19973659343304878,0.4645217752759959
liverpool,pm25,1,27.406319930369634,0.44296540536790474
liverpool,pm25,3,42.456409569682606,0.13707170629736587
liverpool,no2,1,0.06669182997640181,0.8255737040500972
liverpool,no2,3,0.23036508052653476,0.3975014971599611
macquarie_park,pm25,1,16.276314250628552,0.3539475389597061
macquarie_park,pm25,3,25.977318888833036,-0.03111248289587376
oakdale,pm25,1,20.780868557530315,0.47473090169683274
oakdale,pm25,3,35.77112312029306,0.09582866882244834
oakdale,no2,1,0.005041605471247411,0.7751548044913281
oakdale,no2,3,0.012020438949194565,0.46391323933505146
parramatta_north,pm25,1,5.729043169273909,0.6994849135145639
parramatta_north,pm25,3,13.776634514372862,0.27735114045410236
parramatta_north,no2,1,0.04314516479214959,0.7886843736167972
parramatta_north,no2,3,0.15917797416845486,0.22038092843403323
penrith,pm25,1,23.60372381934725,0.7845574812590717
penrith,pm25,3,82.04108713935813,0.2511716122072427
penrith,no2,1,0.04589551097891726,0.7439398242129283
penrith,no2,3,0.15091070718596056,0.15803917668681788
prospect,pm25,1,11.248128263921414,0.6423237490474942
prospect,pm25,3,22.07848494227009,0.29793210607384946
prospect,no2,1,0.05646555210086003,0.808391026935103
prospect,no2,3,0.17453850565292572,0.40772484135633846
randwick,pm25,1,5.178328040721308,0.6285399145438824
randwick,pm25,3,9.524239107060911,0.3167920910393811
randwick,no2,1,0.07124315796602972,0.7987111407295115
randwick,no2,3,0.19913130705779403,0.43737876327973646
richmond,pm25,1,10.318639952108079,0.7789832724650002
richmond,pm25,3,31.062407845532356,0.33466893280112053
richmond,no2,1,0.015891424503931193,0.7767463466420975
richmond,no2,3,0.04264182079967179,0.400938394351954
rouse_hill,pm25,1,9.179246649615253,0.6019878874732836
rouse_hill,pm25,3,23.753063083530492,-0.02993275785356464
rouse_hill,no2,1,0.03172707041228315,0.8031991475165763
rouse_hill,no2,3,0.10914407084365049,0.3229867773349234
rozelle,pm25,1,10.196502664309977,0.641851226474835
rozelle,pm25,3,18.47302080175519,0.3511412725256019
rozelle,no2,1,0.06910266630699466,0.7878875456704236
rozelle,no2,3,0.195272340062892,0.4006064088842961
st_marys,pm25,1,18.66972910859549,0.7048485048297228
st_marys,pm25,3,47.45785283639727,0.24973436193111476
st_marys,no2,1,0.04206041114946404,0.6937960574869129
st_marys,no2,3,0.09546284273734357,0.30502108726880806
sydney,pm25,1,1.5072214023153303,0.9076069622631521
sydney,pm25,3,5.320277335319405,0.6738657082114454
sydney,no2,1,0.009263374766927911,0.922322708296403
sydney,no2,3,0.05581950402971505,0.5319299924314471
