model,target,horizon,mse,r2
lin,pm25,1,1.8374267786564502,0.8873652925586687
ridge,pm25,1,1.838115998917594,0.8873230431893995
knn,pm25,1,14.525050683722739,0.10961086812509513
tree,pm25,1,5.353855725871647,0.671807344721735
rf,pm25,1,3.535145451077927,0.7832947259341296
lin,pm25,3,5.240238195143227,0.6789373934225718
ridge,pm25,3,5.241887825411631,0.6788363227127796
knn,pm25,3,14.791042909505064,0.09377195965526364
tree,pm25,3,8.913486795163946,0.45388220962909775
rf,pm25,3,6.66068600238139,0.5919083961678748
lin,no2,1,0.014030607624741,0.8823474566594525
ridge,no2,1,0.01443461520951087,0.8789596832181064
knn,no2,1,0.09361669596665159,0.21498464826332475
tree,no2,1,0.037904488555502165,0.6821549285781678
rf,no2,1,0.017033209181911806,0.8571693803217961
lin,no2,3,0.05460570026734744,0.5418221117389226
ridge,no2,3,0.054967861408486286,0.5387833405841749
knn,no2,3,0.10974781491308963,0.07914335258117167
tree,no2,3,0.08792857471876177,0.2622211878026407
rf,no2,3,0.04302769045148456,0.6389692605114141
